	model	semantic_class_detailed	pairid	expected	unexpected	diff	acc
1419	distilbert/distilgpt2	ExpStim	1604	0.4299522638320923	0.0198722071945667	0.41008005663752556	True
1420	distilbert/distilgpt2	ExpStim	1605	0.4158630669116974	0.0061512487009167	0.4097118182107807	True
1421	distilbert/distilgpt2	ExpStim	1606	0.4158630669116974	0.0067837317474186	0.4090793351642788	True
1422	distilbert/distilgpt2	ExpStim	1607	0.4694644212722778	0.0042262747883796	0.46523814648389816	True
1423	distilbert/distilgpt2	ExpStim	1608	0.4694644212722778	0.0064381160773336	0.4630263051949442	True
1424	distilbert/distilgpt2	ExpStim	1625	0.4230608642101288	0.0317564755678176	0.3913043886423112	True
1425	distilbert/distilgpt2	ExpStim	1626	0.4230608642101288	0.026375463232398	0.3966854009777308	True
1426	distilbert/distilgpt2	ExpStim	1627	0.422096312046051	0.0415804870426654	0.38051582500338565	True
1427	distilbert/distilgpt2	ExpStim	1628	0.422096312046051	0.0347603224217891	0.3873359896242619	True
1428	distilbert/distilgpt2	ExpStim	1629	0.4219472408294678	0.0279060620814561	0.3940411787480117	True
1429	distilbert/distilgpt2	ExpStim	1630	0.4219472408294678	0.0334029123187065	0.38854432851076126	True
1430	distilbert/distilgpt2	ExpStim	1631	0.5042144656181335	0.0276268776506185	0.47658758796751505	True
1431	distilbert/distilgpt2	ExpStim	1632	0.5042144656181335	0.0382353737950325	0.46597909182310104	True
1432	distilbert/distilgpt2	ExpStim	1721	0.4436502754688263	0.0316329039633274	0.4120173715054989	True
1433	distilbert/distilgpt2	ExpStim	1722	0.4436502754688263	0.0167439095675945	0.42690636590123177	True
1434	distilbert/distilgpt2	ExpStim	1723	0.4482585787773132	0.0400590933859348	0.4081994853913784	True
1435	distilbert/distilgpt2	ExpStim	1724	0.4482585787773132	0.0234668515622615	0.42479172721505165	True
1436	distilbert/distilgpt2	ExpStim	1725	0.455424815416336	0.0168639868497848	0.4385608285665512	True
1437	distilbert/distilgpt2	ExpStim	1726	0.455424815416336	0.0178621113300323	0.4375627040863037	True
1438	distilbert/distilgpt2	ExpStim	1727	0.5220736265182495	0.0172166936099529	0.5048569329082966	True
1439	distilbert/distilgpt2	ExpStim	1728	0.5220736265182495	0.0208206064999103	0.5012530200183392	True
1440	distilbert/distilgpt2	ExpStim	1777	0.4459109902381897	0.0329924225807189	0.4129185676574708	True
1441	distilbert/distilgpt2	ExpStim	1778	0.4459109902381897	0.0168242398649454	0.4290867503732443	True
1442	distilbert/distilgpt2	ExpStim	1779	0.4198023974895477	0.0396029390394687	0.38019945845007896	True
1443	distilbert/distilgpt2	ExpStim	1780	0.4198023974895477	0.0227939970791339	0.3970084004104138	True
1444	distilbert/distilgpt2	ExpStim	1781	0.4159680008888244	0.0076274452731013	0.40834055561572313	True
1445	distilbert/distilgpt2	ExpStim	1782	0.4159680008888244	0.0099260071292519	0.4060419937595725	True
1446	distilbert/distilgpt2	ExpStim	1783	0.5022873878479004	0.0088786408305168	0.4934087470173836	True
1447	distilbert/distilgpt2	ExpStim	1784	0.5022873878479004	0.0132952081039547	0.4889921797439457	True
1448	distilbert/distilgpt2	ExpStim	1865	0.4522380828857422	0.0148920146748423	0.4373460682108999	True
1449	distilbert/distilgpt2	ExpStim	1866	0.4522380828857422	0.0112814847379922	0.44095659814775	True
1450	distilbert/distilgpt2	ExpStim	1867	0.4242579340934753	0.022494088858366	0.4017638452351093	True
1451	distilbert/distilgpt2	ExpStim	1868	0.4242579340934753	0.0164330955594778	0.4078248385339975	True
1452	distilbert/distilgpt2	ExpStim	1869	0.4354893267154693	0.0061569032259285	0.4293324234895408	True
1453	distilbert/distilgpt2	ExpStim	1870	0.4354893267154693	0.0087547060102224	0.4267346207052469	True
1454	distilbert/distilgpt2	ExpStim	1871	0.49346923828125	0.0072136628441512	0.4862555754370988	True
1455	distilbert/distilgpt2	ExpStim	1872	0.49346923828125	0.0126416543498635	0.4808275839313865	True
1456	distilbert/distilgpt2	ExpStim	1929	0.3980134427547455	0.0141507051885128	0.3838627375662327	True
1457	distilbert/distilgpt2	ExpStim	1930	0.3980134427547455	0.0093327527865767	0.3886806899681688	True
1458	distilbert/distilgpt2	ExpStim	1931	0.378537654876709	0.014957096427679	0.36358055844903	True
1459	distilbert/distilgpt2	ExpStim	1932	0.378537654876709	0.0098312702029943	0.3687063846737147	True
1460	distilbert/distilgpt2	ExpStim	1933	0.4028112590312958	0.0127581302076578	0.39005312882363796	True
1461	distilbert/distilgpt2	ExpStim	1934	0.4028112590312958	0.0156081710010766	0.3872030880302192	True
1462	distilbert/distilgpt2	ExpStim	1935	0.4540000259876251	0.0113156307488679	0.44268439523875724	True
1463	distilbert/distilgpt2	ExpStim	1936	0.4540000259876251	0.017205549404025	0.4367944765836001	True
1464	distilbert/distilgpt2	ExpStim	1937	0.5000290274620056	0.0320000909268856	0.46802893653512	True
1465	distilbert/distilgpt2	ExpStim	1938	0.5000290274620056	0.0212933104485273	0.47873571701347833	True
1466	distilbert/distilgpt2	ExpStim	1939	0.4553344845771789	0.0339505597949028	0.4213839247822761	True
1467	distilbert/distilgpt2	ExpStim	1940	0.4553344845771789	0.0227159187197685	0.4326185658574104	True
1468	distilbert/distilgpt2	ExpStim	1941	0.4954167306423187	0.0151413017883896	0.48027542885392915	True
1469	distilbert/distilgpt2	ExpStim	1942	0.4954167306423187	0.0152064496651291	0.48021028097718965	True
1470	distilbert/distilgpt2	ExpStim	1943	0.5425702929496765	0.0126747190952301	0.5298955738544464	True
1471	distilbert/distilgpt2	ExpStim	1944	0.5425702929496765	0.0142119089141488	0.5283583840355277	True
1472	distilbert/distilgpt2	ExpStim	1945	0.5226954221725464	0.0256144609302282	0.4970809612423182	True
1473	distilbert/distilgpt2	ExpStim	1946	0.5226954221725464	0.0227188970893621	0.4999765250831843	True
1474	distilbert/distilgpt2	ExpStim	1947	0.4305222928524017	0.0310878213495016	0.39943447150290007	True
1475	distilbert/distilgpt2	ExpStim	1948	0.4305222928524017	0.0274431221187114	0.40307917073369026	True
1476	distilbert/distilgpt2	ExpStim	1949	0.4937320649623871	0.0074297208338975	0.4863023441284896	True
1477	distilbert/distilgpt2	ExpStim	1950	0.4937320649623871	0.0074998708441853	0.4862321941182018	True
1478	distilbert/distilgpt2	ExpStim	1951	0.5032593607902527	0.008763781748712	0.4944955790415407	True
1479	distilbert/distilgpt2	ExpStim	1952	0.5032593607902527	0.0104803144931793	0.49277904629707336	True
1480	distilbert/distilgpt2	ExpStim	2201	0.3425948917865753	0.0394710712134838	0.3031238205730915	True
1481	distilbert/distilgpt2	ExpStim	2202	0.3425948917865753	0.0311088189482688	0.31148607283830654	True
1482	distilbert/distilgpt2	ExpStim	2203	0.3247513771057129	0.0345630161464214	0.2901883609592915	True
1483	distilbert/distilgpt2	ExpStim	2204	0.3247513771057129	0.0301916468888521	0.29455973021686077	True
1484	distilbert/distilgpt2	ExpStim	2205	0.3127472996711731	0.0234678965061903	0.2892794031649828	True
1485	distilbert/distilgpt2	ExpStim	2206	0.3127472996711731	0.017706923186779	0.2950403764843941	True
1486	distilbert/distilgpt2	ExpStim	2207	0.3820617496967315	0.0226790476590394	0.3593827020376921	True
1487	distilbert/distilgpt2	ExpStim	2208	0.3820617496967315	0.022742873057723	0.3593188766390085	True
1488	distilbert/distilgpt2	ExpStim	2209	0.417644202709198	0.047678492963314	0.369965709745884	True
1489	distilbert/distilgpt2	ExpStim	2210	0.417644202709198	0.035888671875	0.381755530834198	True
1490	distilbert/distilgpt2	ExpStim	2211	0.3946432769298553	0.0574665032327175	0.3371767736971378	True
1491	distilbert/distilgpt2	ExpStim	2212	0.3946432769298553	0.0415271073579788	0.35311616957187647	True
1492	distilbert/distilgpt2	ExpStim	2213	0.3785108923912048	0.0196285024285316	0.3588823899626732	True
1493	distilbert/distilgpt2	ExpStim	2214	0.3785108923912048	0.0244516599923372	0.3540592323988676	True
1494	distilbert/distilgpt2	ExpStim	2215	0.4508436620235443	0.0163655392825603	0.434478122740984	True
1495	distilbert/distilgpt2	ExpStim	2216	0.4508436620235443	0.0225776880979537	0.4282659739255906	True
1496	distilbert/distilgpt2	ExpStim	2249	0.4145177602767944	0.0156201431527733	0.39889761712402105	True
1497	distilbert/distilgpt2	ExpStim	2250	0.4145177602767944	0.0099068051204085	0.4046109551563859	True
1498	distilbert/distilgpt2	ExpStim	2251	0.3538484573364258	0.0174606125801801	0.33638784475624567	True
1499	distilbert/distilgpt2	ExpStim	2252	0.3538484573364258	0.0119837364181876	0.34186472091823816	True
1500	distilbert/distilgpt2	ExpStim	2253	0.4273000657558441	0.0118181882426142	0.4154818775132299	True
1501	distilbert/distilgpt2	ExpStim	2254	0.4273000657558441	0.012031833641231	0.4152682321146131	True
1502	distilbert/distilgpt2	ExpStim	2255	0.435738205909729	0.0163608565926551	0.41937734931707393	True
1503	distilbert/distilgpt2	ExpStim	2256	0.435738205909729	0.015867568552494	0.419870637357235	True
1504	distilbert/distilgpt2	ExpStim	2265	0.4295379817485809	0.0586682297289371	0.3708697520196438	True
1505	distilbert/distilgpt2	ExpStim	2266	0.4295379817485809	0.0417524464428424	0.38778553530573845	True
1506	distilbert/distilgpt2	ExpStim	2267	0.4357776939868927	0.0607891492545604	0.3749885447323323	True
1507	distilbert/distilgpt2	ExpStim	2268	0.4357776939868927	0.0420622825622558	0.3937154114246369	True
1508	distilbert/distilgpt2	ExpStim	2269	0.4447738230228424	0.0192927084863185	0.42548111453652393	True
1509	distilbert/distilgpt2	ExpStim	2270	0.4447738230228424	0.0227541215717792	0.4220197014510632	True
1510	distilbert/distilgpt2	ExpStim	2271	0.5010544657707214	0.0160888228565454	0.48496564291417604	True
1511	distilbert/distilgpt2	ExpStim	2272	0.5010544657707214	0.0221782270818948	0.4788762386888266	True
1512	distilbert/distilgpt2	ExpStim	2305	0.4899472594261169	0.031273178756237	0.4586740806698799	True
1513	distilbert/distilgpt2	ExpStim	2306	0.4899472594261169	0.0182251054793596	0.4717221539467573	True
1514	distilbert/distilgpt2	ExpStim	2307	0.4690387547016144	0.0274859014898538	0.4415528532117606	True
1515	distilbert/distilgpt2	ExpStim	2308	0.4690387547016144	0.019636895507574	0.44940185919404035	True
1516	distilbert/distilgpt2	ExpStim	2309	0.4734497964382171	0.0192202068865299	0.4542295895516872	True
1517	distilbert/distilgpt2	ExpStim	2310	0.4734497964382171	0.0243692379444837	0.4490805584937334	True
1518	distilbert/distilgpt2	ExpStim	2311	0.5205148458480835	0.0222045686095953	0.4983102772384882	True
1519	distilbert/distilgpt2	ExpStim	2312	0.5205148458480835	0.0307962410151958	0.4897186048328877	True
1520	distilbert/distilgpt2	ExpStim	2313	0.5002793669700623	0.0133356088772416	0.48694375809282064	True
1521	distilbert/distilgpt2	ExpStim	2314	0.5002793669700623	0.0141173442825675	0.48616202268749475	True
1522	distilbert/distilgpt2	ExpStim	2315	0.3928181529045105	0.015585308894515	0.3772328440099955	True
1523	distilbert/distilgpt2	ExpStim	2316	0.3928181529045105	0.0179876871407032	0.3748304657638073	True
1524	distilbert/distilgpt2	ExpStim	2317	0.4550399780273437	0.0081105818971991	0.4469293961301446	True
1525	distilbert/distilgpt2	ExpStim	2318	0.4550399780273437	0.0103313904255628	0.4447085876017809	True
1526	distilbert/distilgpt2	ExpStim	2319	0.4850358963012695	0.0118286348879337	0.4732072614133358	True
1527	distilbert/distilgpt2	ExpStim	2320	0.4850358963012695	0.0188870765268802	0.46614881977438927	True
1528	distilbert/distilgpt2	ExpStim	2353	0.4936983287334442	0.0519568771123886	0.4417414516210556	True
1529	distilbert/distilgpt2	ExpStim	2354	0.4936983287334442	0.0296910740435123	0.4640072546899319	True
1530	distilbert/distilgpt2	ExpStim	2355	0.4805112481117248	0.0652400031685829	0.4152712449431419	True
1531	distilbert/distilgpt2	ExpStim	2356	0.4805112481117248	0.0398631133139133	0.4406481347978115	True
1532	distilbert/distilgpt2	ExpStim	2357	0.5030421018600464	0.0134879034012556	0.4895541984587908	True
1533	distilbert/distilgpt2	ExpStim	2358	0.5030421018600464	0.0218922812491655	0.4811498206108809	True
1534	distilbert/distilgpt2	ExpStim	2359	0.5431303381919861	0.0144440121948719	0.5286863259971142	True
1535	distilbert/distilgpt2	ExpStim	2360	0.5431303381919861	0.0274586863815784	0.5156716518104076	True
1536	distilbert/distilgpt2	ExpStim	2393	0.3967369198799133	0.0292805861681699	0.36745633371174335	True
1537	distilbert/distilgpt2	ExpStim	2394	0.3967369198799133	0.0277183093130588	0.3690186105668545	True
1538	distilbert/distilgpt2	ExpStim	2395	0.4326196312904358	0.0410805903375148	0.39153904095292097	True
1539	distilbert/distilgpt2	ExpStim	2396	0.4326196312904358	0.0398783609271049	0.3927412703633309	True
1540	distilbert/distilgpt2	ExpStim	2397	0.4210468232631683	0.0145820509642362	0.4064647722989321	True
1541	distilbert/distilgpt2	ExpStim	2398	0.4210468232631683	0.0176358558237552	0.40341096743941307	True
1542	distilbert/distilgpt2	ExpStim	2399	0.4545847177505493	0.0156135829165577	0.43897113483399164	True
1543	distilbert/distilgpt2	ExpStim	2400	0.4545847177505493	0.0177908707410097	0.4367938470095396	True
1544	distilbert/distilgpt2	ExpStim	2401	0.4704350531101227	0.0823542848229408	0.38808076828718185	True
1545	distilbert/distilgpt2	ExpStim	2402	0.4704350531101227	0.0684353411197662	0.4019997119903565	True
1546	distilbert/distilgpt2	ExpStim	2403	0.3878159821033478	0.0844718441367149	0.3033441379666329	True
1547	distilbert/distilgpt2	ExpStim	2404	0.3878159821033478	0.0701170712709426	0.3176989108324052	True
1548	distilbert/distilgpt2	ExpStim	2405	0.4258085191249847	0.0149827431887388	0.41082577593624586	True
1549	distilbert/distilgpt2	ExpStim	2406	0.4258085191249847	0.0221930537372827	0.403615465387702	True
1550	distilbert/distilgpt2	ExpStim	2407	0.4403890669345855	0.0186486598104238	0.4217404071241617	True
1551	distilbert/distilgpt2	ExpStim	2408	0.4403890669345855	0.0323403142392635	0.40804875269532204	True
1552	distilbert/distilgpt2	ExpStim	2425	0.3668803572654724	0.0577112697064876	0.3091690875589848	True
1553	distilbert/distilgpt2	ExpStim	2426	0.3668803572654724	0.045265544205904	0.3216148130595684	True
1554	distilbert/distilgpt2	ExpStim	2427	0.3738445043563843	0.0705910846590995	0.3032534196972848	True
1555	distilbert/distilgpt2	ExpStim	2428	0.3738445043563843	0.05501164868474	0.31883285567164427	True
1556	distilbert/distilgpt2	ExpStim	2429	0.3949126005172729	0.0209566820412874	0.37395591847598547	True
1557	distilbert/distilgpt2	ExpStim	2430	0.3949126005172729	0.0297480765730142	0.3651645239442587	True
1558	distilbert/distilgpt2	ExpStim	2431	0.4627462029457092	0.025048803538084	0.4376973994076252	True
1559	distilbert/distilgpt2	ExpStim	2432	0.4627462029457092	0.0398091897368431	0.42293701320886606	True
1560	distilbert/distilgpt2	StimExp	9	0.4640699625015259	0.447677731513977	0.016392230987548884	True
1561	distilbert/distilgpt2	StimExp	10	0.4640699625015259	0.4705131947994232	-0.006443232297897339	False
1562	distilbert/distilgpt2	StimExp	11	0.4727146029472351	0.4752990305423736	-0.0025844275951384943	False
1563	distilbert/distilgpt2	StimExp	12	0.4727146029472351	0.4616195559501648	0.011095046997070312	True
1564	distilbert/distilgpt2	StimExp	13	0.5028390884399414	0.4810656607151031	0.021773427724838312	True
1565	distilbert/distilgpt2	StimExp	14	0.5028390884399414	0.4922809302806854	0.010558158159255981	True
1566	distilbert/distilgpt2	StimExp	15	0.4641875922679901	0.4589975774288177	0.005190014839172419	True
1567	distilbert/distilgpt2	StimExp	16	0.4641875922679901	0.4762270152568817	-0.012039422988891602	False
1568	distilbert/distilgpt2	StimExp	81	0.3638875484466553	0.3392549753189087	0.024632573127746582	True
1569	distilbert/distilgpt2	StimExp	82	0.3638875484466553	0.3879055678844452	-0.024018019437789917	False
1570	distilbert/distilgpt2	StimExp	83	0.3285039365291595	0.3230778574943542	0.005426079034805298	True
1571	distilbert/distilgpt2	StimExp	84	0.3285039365291595	0.3570541441440582	-0.028550207614898737	False
1572	distilbert/distilgpt2	StimExp	85	0.3121230006217956	0.3319593667984009	-0.01983636617660528	False
1573	distilbert/distilgpt2	StimExp	86	0.3121230006217956	0.3476892113685608	-0.03556621074676519	False
1574	distilbert/distilgpt2	StimExp	87	0.3255277276039123	0.2952939569950104	0.030233770608901922	True
1575	distilbert/distilgpt2	StimExp	88	0.3255277276039123	0.311293214559555	0.0142345130443573	True
1576	distilbert/distilgpt2	StimExp	89	0.4225486814975738	0.4156756103038788	0.006873071193695013	True
1577	distilbert/distilgpt2	StimExp	90	0.4225486814975738	0.4433749914169311	-0.0208263099193573	False
1578	distilbert/distilgpt2	StimExp	91	0.4245995879173279	0.4261268377304077	-0.001527249813079834	False
1579	distilbert/distilgpt2	StimExp	92	0.4245995879173279	0.4391111731529236	-0.014511585235595703	False
1580	distilbert/distilgpt2	StimExp	93	0.4713804125785827	0.4700065553188324	0.0013738572597503107	True
1581	distilbert/distilgpt2	StimExp	94	0.4713804125785827	0.4520366787910461	0.01934373378753662	True
1582	distilbert/distilgpt2	StimExp	95	0.4545142948627472	0.4523076713085174	0.002206623554229792	True
1583	distilbert/distilgpt2	StimExp	96	0.4545142948627472	0.4372376501560211	0.017276644706726074	True
1584	distilbert/distilgpt2	StimExp	97	0.3762467503547668	0.3802922666072845	-0.0040455162525177	False
1585	distilbert/distilgpt2	StimExp	98	0.3762467503547668	0.3844940364360809	-0.008247286081314087	False
1586	distilbert/distilgpt2	StimExp	99	0.3810091018676758	0.3816463053226471	-0.0006372034549713135	False
1587	distilbert/distilgpt2	StimExp	100	0.3810091018676758	0.3718168139457702	0.009192287921905573	True
1588	distilbert/distilgpt2	StimExp	101	0.4421853423118591	0.4289184510707855	0.013266891241073553	True
1589	distilbert/distilgpt2	StimExp	102	0.4421853423118591	0.434542566537857	0.007642775774002075	True
1590	distilbert/distilgpt2	StimExp	103	0.3402371704578399	0.3512482047080993	-0.0110110342502594	False
1591	distilbert/distilgpt2	StimExp	104	0.3402371704578399	0.3597453236579895	-0.01950815320014959	False
1592	distilbert/distilgpt2	StimExp	105	0.416161835193634	0.4111568629741668	0.005004972219467163	True
1593	distilbert/distilgpt2	StimExp	106	0.416161835193634	0.4150837063789367	0.0010781288146972656	True
1594	distilbert/distilgpt2	StimExp	107	0.392941266298294	0.4169469475746155	-0.024005681276321467	False
1595	distilbert/distilgpt2	StimExp	108	0.392941266298294	0.4013903439044952	-0.008449077606201172	False
1596	distilbert/distilgpt2	StimExp	109	0.4867768883705139	0.4670532941818237	0.01972359418869024	True
1597	distilbert/distilgpt2	StimExp	110	0.4867768883705139	0.4456543028354645	0.04112258553504944	True
1598	distilbert/distilgpt2	StimExp	111	0.4202256798744201	0.4136267006397247	0.006598979234695435	True
1599	distilbert/distilgpt2	StimExp	112	0.4202256798744201	0.407422125339508	0.01280355453491211	True
1600	distilbert/distilgpt2	StimExp	113	0.3601512014865875	0.36948361992836	-0.009332418441772461	False
1601	distilbert/distilgpt2	StimExp	114	0.3601512014865875	0.3615492582321167	-0.0013980567455291748	False
1602	distilbert/distilgpt2	StimExp	115	0.3215400576591491	0.3582320809364319	-0.03669202327728277	False
1603	distilbert/distilgpt2	StimExp	116	0.3215400576591491	0.3402104377746582	-0.01867038011550909	False
1604	distilbert/distilgpt2	StimExp	117	0.4286631047725677	0.3949887156486511	0.03367438912391657	True
