	model	freq_bin	pairid	expected	unexpected	diff	acc
49	distilbert/distilgpt2	high	98	0.5464832186698914	0.5590834021568298	-0.012600183486938477	False
50	distilbert/distilgpt2	high	99	0.0310634542256593	0.0288603212684392	0.002203132957220102	True
51	distilbert/distilgpt2	high	100	0.0230759512633085	0.0211646500974893	0.0019113011658191993	True
52	distilbert/distilgpt2	high	101	0.5828617811203003	0.5750675797462463	0.007794201374053955	True
53	distilbert/distilgpt2	high	102	0.5828617811203003	0.5841024518013	-0.0012406706809997559	False
54	distilbert/distilgpt2	high	103	0.0258517209440469	0.0288603212684392	-0.003008600324392298	False
55	distilbert/distilgpt2	high	104	0.0191078409552574	0.0211646500974893	-0.002056809142231903	False
56	distilbert/distilgpt2	high	105	0.0103380726650357	0.0036699497140944	0.0066681229509413	True
57	distilbert/distilgpt2	high	106	0.0142338834702968	0.0051188278011977	0.009115055669099101	True
58	distilbert/distilgpt2	high	107	0.6053310632705688	0.5927168726921082	0.012614190578460693	True
59	distilbert/distilgpt2	high	108	0.6053310632705688	0.5975399017333984	0.00779116153717041	True
60	distilbert/distilgpt2	high	109	0.0103862835094332	0.0036699497140944	0.0067163337953388	True
61	distilbert/distilgpt2	high	110	0.0116127049550414	0.0051188278011977	0.0064938771538437	True
62	distilbert/distilgpt2	high	111	0.5701135993003845	0.567768394947052	0.0023452043533325195	True
63	distilbert/distilgpt2	high	112	0.5701135993003845	0.568431556224823	0.0016820430755615234	True
64	distilbert/distilgpt2	high	145	0.2569989264011383	0.2862014174461365	-0.02920249104499817	False
65	distilbert/distilgpt2	high	146	0.2569989264011383	0.2516919672489166	0.00530695915222168	True
66	distilbert/distilgpt2	high	147	0.0401061810553073	0.02780756726861	0.012298613786697297	True
67	distilbert/distilgpt2	high	148	0.02939423173666	0.0244356095790863	0.0049586221575737	True
68	distilbert/distilgpt2	high	149	0.2616727352142334	0.3137049674987793	-0.0520322322845459	False
69	distilbert/distilgpt2	high	150	0.2616727352142334	0.2644921243190765	-0.002819389104843084	False
70	distilbert/distilgpt2	high	151	0.0362068675458431	0.02780756726861	0.008399300277233096	True
71	distilbert/distilgpt2	high	152	0.0245754234492778	0.0244356095790863	0.00013981387019150124	True
72	distilbert/distilgpt2	high	153	0.0085562150925397	0.0048327264375984	0.0037234886549413005	True
73	distilbert/distilgpt2	high	154	0.0123695200309157	0.0069906120188534	0.005378908012062301	True
74	distilbert/distilgpt2	high	155	0.3561769127845764	0.3123610913753509	0.04381582140922552	True
75	distilbert/distilgpt2	high	156	0.3561769127845764	0.2886859774589538	0.06749093532562261	True
76	distilbert/distilgpt2	high	157	0.0120919710025191	0.0048327264375984	0.007259244564920699	True
77	distilbert/distilgpt2	high	158	0.0138580743223428	0.0069906120188534	0.0068674623034894	True
78	distilbert/distilgpt2	high	159	0.2714167237281799	0.2942201495170593	-0.02280342578887945	False
79	distilbert/distilgpt2	high	160	0.2714167237281799	0.2753749787807464	-0.003958255052566528	False
80	distilbert/distilgpt2	high	161	0.3638875484466553	0.3392549753189087	0.024632573127746582	True
81	distilbert/distilgpt2	high	162	0.3638875484466553	0.3879055678844452	-0.024018019437789917	False
82	distilbert/distilgpt2	high	163	0.0236054640263319	0.0250593293458223	-0.001453865319490398	False
83	distilbert/distilgpt2	high	164	0.0166067890822887	0.011476706713438	0.005130082368850701	True
84	distilbert/distilgpt2	high	165	0.3285039365291595	0.3230778574943542	0.005426079034805298	True
85	distilbert/distilgpt2	high	166	0.3285039365291595	0.3570541441440582	-0.028550207614898737	False
86	distilbert/distilgpt2	high	167	0.0256895273923873	0.0250593293458223	0.0006301980465650003	True
87	distilbert/distilgpt2	high	168	0.0172838382422924	0.011476706713438	0.005807131528854401	True
88	distilbert/distilgpt2	high	169	0.0202678032219409	0.0103319818153977	0.009935821406543201	True
89	distilbert/distilgpt2	high	170	0.0185397062450647	0.0107772713527083	0.007762434892356401	True
90	distilbert/distilgpt2	high	171	0.3121230006217956	0.3319593667984009	-0.01983636617660528	False
91	distilbert/distilgpt2	high	172	0.3121230006217956	0.3476892113685608	-0.03556621074676519	False
92	distilbert/distilgpt2	high	173	0.0246788747608661	0.0103319818153977	0.0143468929454684	True
93	distilbert/distilgpt2	high	174	0.0215659048408269	0.0107772713527083	0.010788633488118602	True
94	distilbert/distilgpt2	high	175	0.3255277276039123	0.2952939569950104	0.030233770608901922	True
95	distilbert/distilgpt2	high	176	0.3255277276039123	0.311293214559555	0.0142345130443573	True
96	distilbert/distilgpt2	high	177	0.4225486814975738	0.4156756103038788	0.006873071193695013	True
97	distilbert/distilgpt2	high	178	0.4225486814975738	0.4433749914169311	-0.0208263099193573	False
98	distilbert/distilgpt2	high	179	0.0300553254783153	0.0280489437282085	0.002006381750106801	True
99	distilbert/distilgpt2	high	180	0.0269275624305009	0.0291016586124897	-0.0021740961819887994	False
100	distilbert/distilgpt2	high	181	0.4245995879173279	0.4261268377304077	-0.001527249813079834	False
101	distilbert/distilgpt2	high	182	0.4245995879173279	0.4391111731529236	-0.014511585235595703	False
102	distilbert/distilgpt2	high	183	0.020433735102415	0.0280489437282085	-0.007615208625793499	False
103	distilbert/distilgpt2	high	184	0.0175246894359588	0.0291016586124897	-0.0115769691765309	False
104	distilbert/distilgpt2	high	185	0.0090190656483173	0.0052334675565361	0.003785598091781201	True
105	distilbert/distilgpt2	high	186	0.0111229848116636	0.0085332347080111	0.0025897501036525	True
106	distilbert/distilgpt2	high	187	0.4713804125785827	0.4700065553188324	0.0013738572597503107	True
107	distilbert/distilgpt2	high	188	0.4713804125785827	0.4520366787910461	0.01934373378753662	True
108	distilbert/distilgpt2	high	189	0.0103913946077227	0.0052334675565361	0.005157927051186601	True
109	distilbert/distilgpt2	high	190	0.0100704273208975	0.0085332347080111	0.0015371926128863993	True
110	distilbert/distilgpt2	high	191	0.4545142948627472	0.4523076713085174	0.002206623554229792	True
111	distilbert/distilgpt2	high	192	0.4545142948627472	0.4372376501560211	0.017276644706726074	True
112	distilbert/distilgpt2	high	209	0.416161835193634	0.4111568629741668	0.005004972219467163	True
113	distilbert/distilgpt2	high	210	0.416161835193634	0.4150837063789367	0.0010781288146972656	True
114	distilbert/distilgpt2	high	211	0.0708234012126922	0.049539603292942	0.021283797919750207	True
115	distilbert/distilgpt2	high	212	0.0435947850346565	0.0407302416861057	0.0028645433485507965	True
116	distilbert/distilgpt2	high	213	0.392941266298294	0.4169469475746155	-0.024005681276321467	False
117	distilbert/distilgpt2	high	214	0.392941266298294	0.4013903439044952	-0.008449077606201172	False
118	distilbert/distilgpt2	high	215	0.0499524697661399	0.049539603292942	0.0004128664731979023	True
119	distilbert/distilgpt2	high	216	0.0320198871195316	0.0407302416861057	-0.008710354566574104	False
120	distilbert/distilgpt2	high	217	0.0121498666703701	0.0061897076666355	0.0059601590037346	True
121	distilbert/distilgpt2	high	218	0.0166473109275102	0.0107321580871939	0.005915152840316299	True
122	distilbert/distilgpt2	high	219	0.4867768883705139	0.4670532941818237	0.01972359418869024	True
123	distilbert/distilgpt2	high	220	0.4867768883705139	0.4456543028354645	0.04112258553504944	True
124	distilbert/distilgpt2	high	221	0.0141360433772206	0.0061897076666355	0.0079463357105851	True
125	distilbert/distilgpt2	high	222	0.0164982862770557	0.0107321580871939	0.005766128189861799	True
126	distilbert/distilgpt2	high	223	0.4202256798744201	0.4136267006397247	0.006598979234695435	True
127	distilbert/distilgpt2	high	224	0.4202256798744201	0.407422125339508	0.01280355453491211	True
128	distilbert/distilgpt2	high	305	0.4430105686187744	0.4366407990455627	0.006369769573211725	True
129	distilbert/distilgpt2	high	306	0.4430105686187744	0.4376884698867798	0.005322098731994629	True
130	distilbert/distilgpt2	high	307	0.0416244491934776	0.0386585406959056	0.0029659084975720007	True
